CODIGO_WMO,ESTACAO,ibge,municipio_ibge,uf,distancia_check
A514,SAO JOAO DEL REI,3162500,São João del Rei,MG,0.0
A534,AIMORES,3101102,Aimorés,MG,0.0
A555,IBIRITE (ROLA MOCA),3106200,Belo Horizonte,MG,0.0
A565,BAMBUI,3105103,Bambuí,MG,0.0
A706,CAMPOS DO JORDAO,3509700,Campos do Jordão,SP,0.0
A545,PIRAPORA,3151206,Pirapora,MG,0.0
A603,DUQUE DE CAXIAS - XEREM,3301702,Duque de Caxias,RJ,0.0
A629,CARMO,3301207,Carmo,RJ,0.0
A633,VENDA NOVA DO IMIGRANTE,3205069,Venda Nova do Imigrante,ES,0.0
A740,SAO LUIZ DO PARAITINGA,3550001,São Luiz do Paraitinga,SP,0.0
A659,SILVA JARDIM,3305604,Silva Jardim,RJ,0.0
A707,PRESIDENTE PRUDENTE,3541406,Presidente Prudente,SP,0.0
A530,CALDAS,3110301,Caldas,MG,0.0
A533,GUANHAES,3128006,Guanhães,MG,0.0
A538,CURVELO,3120904,Curvelo,MG,0.0
A566,ARACUAI,3103405,Araçuaí,MG,0.0
A569,SETE LAGOAS,3167202,Sete Lagoas,MG,0.0
A725,AVARE,3504503,Avaré,SP,0.0
A744,BRAGANCA PAULISTA,3507605,Bragança Paulista,SP,0.0
A518,JUIZ DE FORA,3136702,Juiz de Fora,MG,0.0
A542,UNAI,3170404,Unaí,MG,0.0
A711,SAO CARLOS,3548906,São Carlos,SP,0.0
A532,GOVERNADOR VALADARES,3127701,Governador Valadares,MG,0.0
A536,DORES DO INDAIA,3123205,Dores do Indaiá,MG,0.0
A541,CAPELINHA,3112307,Capelinha,MG,0.0
A568,UBERABA,3170107,Uberaba,MG,0.0
A570,OLIVEIRA,3145604,Oliveira,MG,0.0
A727,LINS,3527108,Lins,SP,0.0
A729,VOTUPORANGA,3557105,Votuporanga,SP,0.0
A507,UBERLANDIA,3170206,Uberlândia,MG,0.0
A748,BARRETOS,3505500,Barretos,SP,0.0
A762,DRACENA,3514403,Dracena,SP,0.0
A771,SAO PAULO - INTERLAGOS,3550308,São Paulo,SP,0.0
A522,SERRA DOS AIMORES,3166709,Serra dos Aimorés,MG,0.0
A543,ESPINOSA,3124302,Espinosa,MG,0.0
A625,TRES RIOS,3306008,Três Rios,RJ,0.0
A516,PASSOS,3147907,Passos,MG,0.0
A529,PASSA QUATRO,3147600,Passa Quatro,MG,0.0
A549,AGUAS VERMELHAS,3101003,Águas Vermelhas,MG,0.0
A552,SALINAS,3157005,Salinas,MG,0.0
