CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A514,SAO JOAO DEL REI,MG,SE,-21.106502,-44.250928,929.88,09/06/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129446.0,2050.0,3867.0,1.5589827827462432,False,incluida,,alta
A534,AIMORES,MG,SE,-19.53277777,-41.09083333,287.74,05/08/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128710.0,2786.0,18263.0,2.1186956257224554,False,incluida,,alta
A555,IBIRITE (ROLA MOCA),MG,SE,-20.031457,-44.011249,1198.82,06/06/08,2008-06-06 00:00:00,2022-12-31 23:00:00,127728.0,127297.0,431.0,0.0,0.3374358010772892,False,incluida,,alta
A565,BAMBUI,MG,SE,-20.0311111,-46.00888888,697.0,23/11/16,2016-11-23 00:00:00,2022-12-31 23:00:00,53520.0,51081.0,2439.0,80.0,4.557174887892376,False,incluida,,alta
A706,CAMPOS DO JORDAO,SP,SE,-22.75027777,-45.60388888,1662.95,13/03/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130099.0,1397.0,18464.0,1.0623897304860983,False,incluida,,alta
A545,PIRAPORA,MG,SE,-17.258064,-44.835556,505.32,04/07/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127810.0,3686.0,1432.0,2.803127091318367,False,incluida,,alta
A603,DUQUE DE CAXIAS - XEREM,RJ,SE,-22.58972221,-43.28222221,22.0,21/10/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130527.0,969.0,8238.0,0.7369045446249316,False,incluida,,alta
A629,CARMO,RJ,SE,-21.938745,-42.600936,293.0,11/10/18,2018-10-11 00:00:00,2022-12-31 23:00:00,37032.0,36967.0,65.0,112.0,0.1755238712464895,False,incluida,,alta
A633,VENDA NOVA DO IMIGRANTE,ES,SE,-20.38555555,-41.18999999,722.0,10/02/17,2017-02-10 00:00:00,2022-12-31 23:00:00,51624.0,51125.0,499.0,2964.0,0.9666046799938012,False,incluida,,alta
A740,SAO LUIZ DO PARAITINGA,SP,SE,-23.22833332,-45.41694443,862.3,01/11/07,2008-01-01 00:00:00,2012-10-24 00:00:00,42193.0,42086.0,107.0,0.0,0.2535965681511151,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A659,SILVA JARDIM,RJ,SE,-22.64583333,-42.41555555,19.0,28/08/15,2015-08-28 00:00:00,2022-12-31 23:00:00,64392.0,63716.0,676.0,131.0,1.0498198533979377,False,incluida,,alta
A707,PRESIDENTE PRUDENTE,SP,SE,-22.11999999,-51.40861111,431.92,04/02/03,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129782.0,1714.0,1905.0,1.303461702257103,False,incluida,,alta
A530,CALDAS,MG,SE,-21.918066,-46.382996,1077.34,28/11/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130447.0,1049.0,3493.0,0.7977428971223459,False,incluida,,alta
A533,GUANHAES,MG,SE,-18.78694444,-42.94305555,852.68,02/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129899.0,1597.0,2331.0,1.2144856117296343,False,incluida,,alta
A538,CURVELO,MG,SE,-18.747711,-44.453785,669.48,18/12/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127046.0,4450.0,1153.0,3.3841333576686745,False,incluida,,alta
A566,ARACUAI,MG,SE,-16.84888888,-42.03527777,308.0,19/05/17,2017-05-19 00:00:00,2022-12-31 23:00:00,49272.0,47294.0,1978.0,163.0,4.014450397791849,False,incluida,,alta
A569,SETE LAGOAS,MG,SE,-19.45527777,-44.17333332,719.0,10/06/16,2016-06-10 00:00:00,2022-12-31 23:00:00,57504.0,56338.0,1166.0,2952.0,2.0276850306065666,False,incluida,,alta
A725,AVARE,SP,SE,-23.10166666,-48.9411111,776.36,22/09/06,2013-06-20 00:00:00,2018-03-26 23:00:00,41784.0,39062.0,2722.0,0.0,6.514455293892399,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A744,BRAGANCA PAULISTA,SP,SE,-22.95194444,-46.53055554,891.0,20/12/17,2017-12-20 00:00:00,2022-12-31 23:00:00,44112.0,42988.0,1124.0,3695.0,2.5480594849474065,False,incluida,,alta
A518,JUIZ DE FORA,MG,SE,-21.769965,-43.364329,936.88,26/05/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130207.0,1289.0,1117.0,0.9802579546145892,False,incluida,,alta
A542,UNAI,MG,SE,-16.55416666,-46.88194443,640.85,16/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130078.0,1418.0,2147.0,1.0783597980166697,False,incluida,,alta
A711,SAO CARLOS,SP,SE,-21.980353,-47.883927,859.29,04/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129852.0,1644.0,5115.0,1.2502281438218652,False,incluida,,alta
A532,GOVERNADOR VALADARES,MG,SE,-18.830354,-41.977007,198.24,27/05/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128773.0,2723.0,5377.0,2.070785423130741,False,incluida,,alta
A536,DORES DO INDAIA,MG,SE,-19.481935,-45.593932,721.09,01/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129009.0,2487.0,3902.0,1.8913122832633693,False,incluida,,alta
A541,CAPELINHA,MG,SE,-17.70555555,-42.38916666,932.06,31/08/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129571.0,1925.0,10316.0,1.4639228569690332,False,incluida,,alta
A568,UBERABA,MG,SE,-19.71,-47.96194444,778.0,19/05/17,2017-05-19 00:00:00,2022-12-31 23:00:00,49272.0,47812.0,1460.0,885.0,2.9631433674297774,False,incluida,,alta
A570,OLIVEIRA,MG,SE,-20.715,-44.86444444,1025.0,19/10/17,2017-10-19 00:00:00,2022-12-31 23:00:00,45600.0,44881.0,719.0,979.0,1.5767543859649122,False,incluida,,alta
A727,LINS,SP,SE,-21.66611111,-49.73472221,460.65,20/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128244.0,3252.0,19136.0,2.4730790290198943,False,incluida,,alta
A729,VOTUPORANGA,SP,SE,-20.40333333,-49.96611111,510.37,04/12/06,2008-01-01 00:00:00,2013-04-01 05:00:00,46014.0,44186.0,1828.0,0.0,3.97270395966445,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
