protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-F-3101003-12300-20211228,Águas Vermelhas,MG,2021-12-28,12300,3101003,Sudeste,Alagamentos,Hidrológico,1
MG-A-3101102-12200-20081114,Aimorés,MG,2008-11-14,12200,3101102,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101102-12100-20101231,Aimorés,MG,2010-12-31,12100,3101102,Sudeste,Inundações,Hidrológico,1
MG-A-3101102-12100-20120109,Aimorés,MG,2012-01-09,12100,3101102,Sudeste,Inundações,Hidrológico,1
MG-F-3101706-12200-20130408,Almenara,MG,2013-04-09,12200,3101706,Sudeste,Enxurradas,Hidrológico,1
MG-F-3101706-12300-20171212,Almenara,MG,2017-12-12,12300,3101706,Sudeste,Alagamentos,Hidrológico,1
MG-A-3103405-12100-20090112,Araçuaí,MG,2009-01-12,12100,3103405,Sudeste,Inundações,Hidrológico,1
MG-A-3103405-12200-20111221,Araçuaí,MG,2011-12-21,12200,3103405,Sudeste,Enxurradas,Hidrológico,1
MG-F-3103405-12100-20131220,Araçuaí,MG,2013-12-20,12100,3103405,Sudeste,Inundações,Hidrológico,1
MG-A-3105608-12200-20120129,Barbacena,MG,2012-01-29,12200,3105608,Sudeste,Enxurradas,Hidrológico,1
MG-F-3105608-12300-20220110,Barbacena,MG,2022-01-10,12300,3105608,Sudeste,Alagamentos,Hidrológico,1
MG-F-3105608-12300-20220112,Barbacena,MG,2022-01-12,12300,3105608,Sudeste,Alagamentos,Hidrológico,1
MG-F-3105608-12300-20220328,Barbacena,MG,2022-03-28,12300,3105608,Sudeste,Alagamentos,Hidrológico,1
MG-A-3106200-12200-20081231,Belo Horizonte,MG,2008-12-31,12200,3106200,Sudeste,Enxurradas,Hidrológico,1
MG-D-3106200-12200-20090109,Belo Horizonte,MG,2009-01-09,12200,3106200,Sudeste,Enxurradas,Hidrológico,1
MG-C-3106200-12200-20091231,Belo Horizonte,MG,2009-12-31,12200,3106200,Sudeste,Enxurradas,Hidrológico,1
MG-A-3106200-12200-20101123,Belo Horizonte,MG,2010-11-23,12200,3106200,Sudeste,Enxurradas,Hidrológico,1
MG-A-3106200-12100-20111215,Belo Horizonte,MG,2011-12-15,12100,3106200,Sudeste,Inundações,Hidrológico,1
MG-J-3106200-12200-20121115,Belo Horizonte,MG,2012-11-15,12200,3106200,Sudeste,Enxurradas,Hidrológico,1
MG-F-3106200-12100-20150913,Belo Horizonte,MG,2015-09-18,12100,3106200,Sudeste,Inundações,Hidrológico,1
MG-F-3106200-12300-20151027,Belo Horizonte,MG,2015-11-06,12300,3106200,Sudeste,Alagamentos,Hidrológico,1
MG-F-3106200-12100-20170319,Belo Horizonte,MG,2017-03-19,12100,3106200,Sudeste,Inundações,Hidrológico,1
MG-F-3110301-12100-20221229,Caldas,MG,2022-12-29,12100,3110301,Sudeste,Inundações,Hidrológico,1
MG-A-3110509-12100-20090215,Camanducaia,MG,2009-02-15,12100,3110509,Sudeste,Inundações,Hidrológico,1
MG-P-3110509-12100-20091006,Camanducaia,MG,2009-10-06,12100,3110509,Sudeste,Inundações,Hidrológico,1
MG-A-3110509-12100-20100122,Camanducaia,MG,2010-01-22,12100,3110509,Sudeste,Inundações,Hidrológico,1
MG-F-3110509-12100-20130126,Camanducaia,MG,2013-01-30,12100,3110509,Sudeste,Inundações,Hidrológico,1
MG-F-3110509-12300-20140317,Camanducaia,MG,2014-03-19,12300,3110509,Sudeste,Alagamentos,Hidrológico,1
MG-F-3110509-12300-20160101,Camanducaia,MG,2016-01-01,12300,3110509,Sudeste,Alagamentos,Hidrológico,1
MG-F-3110509-12300-20160115,Camanducaia,MG,2016-01-15,12300,3110509,Sudeste,Alagamentos,Hidrológico,1
MG-J-3112307-12200-20120131,Capelinha,MG,2012-01-31,12200,3112307,Sudeste,Enxurradas,Hidrológico,1
MG-A-3113404-12100-20090107,Caratinga,MG,2009-01-07,12100,3113404,Sudeste,Inundações,Hidrológico,1
MG-A-3113404-12200-20120109,Caratinga,MG,2012-01-09,12200,3113404,Sudeste,Enxurradas,Hidrológico,1
MG-A-3121605-12100-20120109,Diamantina,MG,2012-01-09,12100,3121605,Sudeste,Inundações,Hidrológico,1
MG-A-3122306-12100-20120103,Divinópolis,MG,2012-01-03,12100,3122306,Sudeste,Inundações,Hidrológico,1
MG-F-3122306-12100-20220107,Divinópolis,MG,2022-01-07,12100,3122306,Sudeste,Inundações,Hidrológico,1
MG-F-3124302-12300-20181208,Espinosa,MG,2018-12-08,12300,3124302,Sudeste,Alagamentos,Hidrológico,1
MG-A-3126000-12200-20111217,Florestal,MG,2011-12-17,12200,3126000,Sudeste,Enxurradas,Hidrológico,1
MG-A-3126109-12100-20081216,Formiga,MG,2008-12-16,12100,3126109,Sudeste,Inundações,Hidrológico,1
MG-P-3126109-12200-20110315,Formiga,MG,2011-03-15,12200,3126109,Sudeste,Enxurradas,Hidrológico,1
MG-A-3126109-12200-20111206,Formiga,MG,2011-12-06,12200,3126109,Sudeste,Enxurradas,Hidrológico,1
MG-A-3126109-12200-20120102,Formiga,MG,2012-01-02,12200,3126109,Sudeste,Enxurradas,Hidrológico,1
MG-N-3127701-12100-20080416,Governador Valadares,MG,2008-04-16,12100,3127701,Sudeste,Inundações,Hidrológico,1
MG-A-3127701-12100-20090106,Governador Valadares,MG,2009-01-06,12100,3127701,Sudeste,Inundações,Hidrológico,1
MG-A-3127701-12100-20101225,Governador Valadares,MG,2010-12-25,12100,3127701,Sudeste,Inundações,Hidrológico,1
MG-P-3127701-12100-20110105,Governador Valadares,MG,2011-01-05,12100,3127701,Sudeste,Inundações,Hidrológico,1
MG-A-3127701-12200-20120105,Governador Valadares,MG,2012-01-05,12200,3127701,Sudeste,Enxurradas,Hidrológico,1
MG-F-3127701-12200-20131217,Governador Valadares,MG,2013-12-17,12200,3127701,Sudeste,Enxurradas,Hidrológico,1
MG-F-3127701-12200-20161125,Governador Valadares,MG,2016-11-25,12200,3127701,Sudeste,Enxurradas,Hidrológico,1
MG-C-3133303-12300-20090107,Itaobim,MG,2009-01-07,12300,3133303,Sudeste,Alagamentos,Hidrológico,1
MG-F-3133303-12200-20121102,Itaobim,MG,2012-11-02,12200,3133303,Sudeste,Enxurradas,Hidrológico,1
MG-F-3133303-12200-20161125,Itaobim,MG,2016-11-25,12200,3133303,Sudeste,Enxurradas,Hidrológico,1
MG-F-3133303-12100-20200228,Itaobim,MG,2020-02-28,12100,3133303,Sudeste,Inundações,Hidrológico,1
MG-F-3133303-12100-20211209,Itaobim,MG,2021-12-09,12100,3133303,Sudeste,Inundações,Hidrológico,1
MG-A-3135050-12100-20120119,Jaíba,MG,2012-01-19,12100,3135050,Sudeste,Inundações,Hidrológico,1
MG-F-3135050-12100-20160122,Jaíba,MG,2016-01-22,12100,3135050,Sudeste,Inundações,Hidrológico,1
MG-F-3135050-12300-20211223,Jaíba,MG,2021-12-28,12300,3135050,Sudeste,Alagamentos,Hidrológico,1
MG-A-3136306-12200-20111220,João Pinheiro,MG,2011-12-20,12200,3136306,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136702-12100-20160228,Juiz de Fora,MG,2016-02-28,12100,3136702,Sudeste,Inundações,Hidrológico,1
MG-F-3136702-12200-20210101,Juiz de Fora,MG,2021-06-16,12200,3136702,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136702-12200-20210107,Juiz de Fora,MG,2021-06-28,12200,3136702,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136702-12300-20210114,Juiz de Fora,MG,2021-07-12,12300,3136702,Sudeste,Alagamentos,Hidrológico,1
MG-F-3136702-12200-20210816,Juiz de Fora,MG,2021-08-24,12200,3136702,Sudeste,Enxurradas,Hidrológico,1
MG-A-3139003-12100-20110105,Machado,MG,2011-01-05,12100,3139003,Sudeste,Inundações,Hidrológico,1
MG-F-3139003-12100-20200211,Machado,MG,2020-02-14,12100,3139003,Sudeste,Inundações,Hidrológico,1
MG-F-3139003-12200-20220115,Machado,MG,2022-01-15,12200,3139003,Sudeste,Enxurradas,Hidrológico,1
MG-A-3139409-12100-20090107,Manhuaçu,MG,2009-01-07,12100,3139409,Sudeste,Inundações,Hidrológico,1
MG-D-3139607-12100-20090327,Mantena,MG,2009-03-27,12100,3139607,Sudeste,Inundações,Hidrológico,1
MG-A-3139607-12100-20091104,Mantena,MG,2009-11-04,12100,3139607,Sudeste,Inundações,Hidrológico,1
MG-A-3139607-12100-20101230,Mantena,MG,2010-12-30,12100,3139607,Sudeste,Inundações,Hidrológico,1
MG-C-3139607-12100-20110310,Mantena,MG,2011-03-10,12100,3139607,Sudeste,Inundações,Hidrológico,1
MG-N-3139904-12200-20080103,Maria da Fé,MG,2008-01-03,12200,3139904,Sudeste,Enxurradas,Hidrológico,1
MG-A-3139904-12200-20081229,Maria da Fé,MG,2008-12-29,12200,3139904,Sudeste,Enxurradas,Hidrológico,1
MG-A-3139904-12100-20100306,Maria da Fé,MG,2010-03-06,12100,3139904,Sudeste,Inundações,Hidrológico,1
MG-P-3139904-12100-20100909,Maria da Fé,MG,2010-09-09,12100,3139904,Sudeste,Inundações,Hidrológico,1
MG-A-3139904-12100-20110201,Maria da Fé,MG,2011-02-01,12100,3139904,Sudeste,Inundações,Hidrológico,1
MG-A-3142700-12200-20110330,Montalvânia,MG,2011-03-30,12200,3142700,Sudeste,Enxurradas,Hidrológico,1
MG-A-3143302-12100-20090105,Montes Claros,MG,2009-01-05,12100,3143302,Sudeste,Inundações,Hidrológico,1
MG-A-3143302-12100-20091101,Montes Claros,MG,2009-11-01,12100,3143302,Sudeste,Inundações,Hidrológico,1
MG-A-3143302-12100-20111230,Montes Claros,MG,2011-12-30,12100,3143302,Sudeste,Inundações,Hidrológico,1
MG-F-3143302-12100-20130121,Montes Claros,MG,2013-01-29,12100,3143302,Sudeste,Inundações,Hidrológico,1
MG-A-3143906-12200-20081217,Muriaé,MG,2008-12-17,12200,3143906,Sudeste,Enxurradas,Hidrológico,1
