protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-N-3100104-12200-20110321,Abadia dos Dourados,MG,2011-01-23,12200,3100104,Sudeste,Enxurradas,Hidrológico,1
MG-A-3100104-12200-20111219,Abadia dos Dourados,MG,2011-12-19,12200,3100104,Sudeste,Enxurradas,Hidrológico,1
MG-F-3100203-12100-20220105,Abaeté,MG,2022-01-05,12100,3100203,Sudeste,Inundações,Hidrológico,1
MG-N-3100302-12100-20090105,Abre Campo,MG,2009-01-05,12100,3100302,Sudeste,Inundações,Hidrológico,1
MG-A-3100302-12100-20111123,Abre Campo,MG,2011-11-23,12100,3100302,Sudeste,Inundações,Hidrológico,1
MG-A-3100302-12100-20120103,Abre Campo,MG,2012-01-03,12100,3100302,Sudeste,Inundações,Hidrológico,1
MG-F-3100302-12200-20180303,Abre Campo,MG,2018-03-03,12200,3100302,Sudeste,Enxurradas,Hidrológico,1
MG-A-3100401-12200-20111217,Acaiaca,MG,2011-12-17,12200,3100401,Sudeste,Enxurradas,Hidrológico,1
MG-A-3100500-12200-20090106,Açucena,MG,2009-01-06,12200,3100500,Sudeste,Enxurradas,Hidrológico,1
MG-A-3100500-12100-20110106,Açucena,MG,2011-01-06,12100,3100500,Sudeste,Inundações,Hidrológico,1
MG-F-3100500-12100-20160120,Açucena,MG,2016-01-20,12100,3100500,Sudeste,Inundações,Hidrológico,1
MG-F-3100500-12200-20161124,Açucena,MG,2016-11-24,12200,3100500,Sudeste,Enxurradas,Hidrológico,1
MG-F-3100500-12100-20191212,Açucena,MG,2019-12-12,12100,3100500,Sudeste,Inundações,Hidrológico,1
MG-F-3100609-12200-20131229,Água Boa,MG,2013-12-29,12200,3100609,Sudeste,Enxurradas,Hidrológico,1
MG-F-3100609-12300-20141229,Água Boa,MG,2014-01-17,12300,3100609,Sudeste,Alagamentos,Hidrológico,1
MG-F-3100609-12300-20211209,Água Boa,MG,2021-12-10,12300,3100609,Sudeste,Alagamentos,Hidrológico,1
MG-A-3100807-12200-20081216,Aguanil,MG,2008-12-16,12200,3100807,Sudeste,Enxurradas,Hidrológico,1
MG-A-3100807-12100-20090127,Aguanil,MG,2009-01-27,12100,3100807,Sudeste,Inundações,Hidrológico,1
MG-A-3100906-12100-20101123,Águas Formosas,MG,2010-11-23,12100,3100906,Sudeste,Inundações,Hidrológico,1
MG-F-3101003-12300-20211228,Águas Vermelhas,MG,2021-12-28,12300,3101003,Sudeste,Alagamentos,Hidrológico,1
MG-A-3101102-12200-20081114,Aimorés,MG,2008-11-14,12200,3101102,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101102-12100-20101231,Aimorés,MG,2010-12-31,12100,3101102,Sudeste,Inundações,Hidrológico,1
MG-A-3101102-12100-20120109,Aimorés,MG,2012-01-09,12100,3101102,Sudeste,Inundações,Hidrológico,1
MG-A-3101201-12100-20110112,Aiuruoca,MG,2011-01-12,12100,3101201,Sudeste,Inundações,Hidrológico,1
MG-A-3101300-12200-20080204,Alagoa,MG,2008-02-04,12200,3101300,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101300-12200-20110112,Alagoa,MG,2011-01-12,12200,3101300,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101300-12100-20111218,Alagoa,MG,2011-12-18,12100,3101300,Sudeste,Inundações,Hidrológico,1
MG-A-3101508-12200-20110115,Além Paraíba,MG,2011-01-15,12200,3101508,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101508-12200-20120109,Além Paraíba,MG,2012-01-09,12200,3101508,Sudeste,Enxurradas,Hidrológico,1
MG-F-3101508-12100-20160116,Além Paraíba,MG,2016-01-16,12100,3101508,Sudeste,Inundações,Hidrológico,1
MG-D-3101607-12200-20080811,Alfenas,MG,2008-08-11,12200,3101607,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101607-12200-20120116,Alfenas,MG,2012-01-16,12200,3101607,Sudeste,Enxurradas,Hidrológico,1
MG-F-3101607-12200-20131211,Alfenas,MG,2013-12-18,12200,3101607,Sudeste,Enxurradas,Hidrológico,1
MG-F-3101706-12200-20130408,Almenara,MG,2013-04-09,12200,3101706,Sudeste,Enxurradas,Hidrológico,1
MG-F-3101706-12300-20171212,Almenara,MG,2017-12-12,12300,3101706,Sudeste,Alagamentos,Hidrológico,1
MG-D-3101805-12100-20111123,Alpercata,MG,2011-11-23,12100,3101805,Sudeste,Inundações,Hidrológico,1
MG-A-3101805-12200-20120106,Alpercata,MG,2012-01-06,12200,3101805,Sudeste,Enxurradas,Hidrológico,1
MG-A-3101904-12200-20080125,Alpinópolis,MG,2008-01-25,12200,3101904,Sudeste,Enxurradas,Hidrológico,1
MG-A-3102100-12100-20090109,Alto Rio Doce,MG,2009-01-09,12100,3102100,Sudeste,Inundações,Hidrológico,1
MG-F-3102100-12300-20130302,Alto Rio Doce,MG,2013-03-06,12300,3102100,Sudeste,Alagamentos,Hidrológico,1
MG-A-3102209-12100-20090107,Alvarenga,MG,2009-01-07,12100,3102209,Sudeste,Inundações,Hidrológico,1
MG-A-3102209-12100-20091231,Alvarenga,MG,2009-12-31,12100,3102209,Sudeste,Inundações,Hidrológico,1
MG-A-3102308-12100-20080130,Alvinópolis,MG,2008-01-30,12100,3102308,Sudeste,Inundações,Hidrológico,1
MG-A-3102308-12200-20090127,Alvinópolis,MG,2009-01-27,12200,3102308,Sudeste,Enxurradas,Hidrológico,1
