protocolo,data,ibge,cobrade,descricao_tipologia
MG-N-3148004-12200-20080108,2008-01-08,3148004,12200,Enxurradas
ES-A-3203908-12200-20080226,2008-02-26,3203908,12200,Enxurradas
SP-C-3507605-12100-20080317,2008-03-17,3507605,12100,Inundações
ES-A-3205200-12200-20081121,2008-11-21,3205200,12200,Enxurradas
ES-A-3200102-12200-20090105,2009-01-05,3200102,12200,Enxurradas
MG-A-3139409-12100-20090107,2009-01-07,3139409,12100,Inundações
MG-A-3103405-12100-20090112,2009-01-12,3103405,12100,Inundações
ES-A-3202108-12200-20090122,2009-01-22,3202108,12200,Enxurradas
RJ-C-3304607-12200-20090122,2009-01-22,3304607,12200,Enxurradas
RJ-C-3305604-12100-20090122,2009-01-22,3305604,12100,Inundações
SP-A-3514403-12200-20090127,2009-01-27,3514403,12200,Enxurradas
RJ-C-3305604-12100-20090213,2009-02-13,3305604,12100,Inundações
RJ-J-3306008-12200-20090213,2009-02-13,3306008,12200,Enxurradas
SP-C-3507605-12300-20090224,2009-02-24,3507605,12300,Alagamentos
SP-R-3505708-12100-20091027,2009-10-27,3505708,12100,Inundações
ES-A-3205200-12300-20091030,2009-10-30,3205200,12300,Alagamentos
ES-A-3202108-12200-20091102,2009-11-02,3202108,12200,Enxurradas
MG-A-3148004-12200-20091111,2009-11-11,3148004,12200,Enxurradas
RJ-A-3306008-12200-20091112,2009-11-12,3306008,12200,Enxurradas
ES-A-3200102-12200-20091206,2009-12-06,3200102,12200,Enxurradas
RJ-J-3303856-12100-20091231,2009-12-31,3303856,12100,Inundações
RJ-J-3300100-12300-20100114,2010-01-14,3300100,12300,Alagamentos
SP-J-3507605-12300-20100125,2010-01-25,3507605,12300,Alagamentos
SP-A-3504503-12100-20100205,2010-02-05,3504503,12100,Inundações
RJ-A-3303856-12200-20100210,2010-02-10,3303856,12200,Enxurradas
ES-J-3205200-12200-20100305,2010-03-05,3205200,12200,Enxurradas
RJ-A-3304409-12200-20100405,2010-04-05,3304409,12200,Enxurradas
RJ-A-3305505-12300-20100409,2010-04-09,3305505,12300,Alagamentos
RJ-P-3303302-12200-20100412,2010-04-12,3303302,12200,Enxurradas
RJ-J-3300100-12200-20101110,2010-11-10,3300100,12200,Enxurradas
RJ-P-3301207-12200-20101126,2010-11-26,3301207,12200,Enxurradas
RJ-J-3300100-12200-20101209,2010-12-09,3300100,12200,Enxurradas
RJ-C-3300100-12300-20101215,2010-12-15,3300100,12300,Alagamentos
RJ-C-3305604-12100-20101216,2010-12-16,3305604,12100,Inundações
RJ-J-3300100-12200-20101226,2010-12-26,3300100,12200,Enxurradas
ES-A-3200102-12200-20101229,2010-12-29,3200102,12200,Enxurradas
MG-A-3139003-12100-20110105,2011-01-05,3139003,12100,Inundações
RJ-P-3304409-12200-20110106,2011-01-06,3304409,12200,Enxurradas
RJ-P-3304607-12200-20110111,2011-01-11,3304607,12200,Enxurradas
RJ-J-3306008-12200-20110112,2011-01-12,3306008,12200,Enxurradas
SP-P-3507605-12200-20110113,2011-01-13,3507605,12200,Enxurradas
SP-P-3504503-12100-20110114,2011-01-14,3504503,12100,Inundações
RJ-C-3301207-12100-20110211,2011-02-11,3301207,12100,Inundações
SP-C-3507605-12300-20110212,2011-02-12,3507605,12300,Alagamentos
RJ-J-3300100-12300-20110228,2011-02-28,3300100,12300,Alagamentos
RJ-J-3300100-12100-20110316,2011-03-16,3300100,12100,Inundações
MG-A-3167202-12100-20110318,2011-03-18,3167202,12100,Inundações
ES-A-3205200-12300-20110427,2011-04-27,3205200,12300,Alagamentos
SP-A-3504503-12100-20111029,2011-10-29,3504503,12100,Inundações
MG-A-3103405-12200-20111221,2011-12-21,3103405,12200,Enxurradas
RJ-J-3306008-12200-20120101,2012-01-01,3306008,12200,Enxurradas
