CODIGO_WMO,status,out_path,total,n_orig_missing,n_imputed,n_remaining_na
A502,skipped,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A502.parquet,,,,
A505,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A505.parquet,131473.0,33580.0,33580.0,0.0
A506,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A506.parquet,131473.0,33580.0,33580.0,0.0
A507,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A507.parquet,131473.0,33580.0,33580.0,0.0
A508,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A508.parquet,131473.0,33580.0,33580.0,0.0
A509,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A509.parquet,131473.0,33580.0,33580.0,0.0
A510,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A510.parquet,131473.0,33580.0,33580.0,0.0
A511,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A511.parquet,131473.0,33580.0,33580.0,0.0
A512,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A512.parquet,131473.0,33580.0,33580.0,0.0
A513,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A513.parquet,131473.0,33580.0,33580.0,0.0
A514,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A514.parquet,131473.0,33580.0,33580.0,0.0
A515,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A515.parquet,131473.0,33580.0,33580.0,0.0
A516,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A516.parquet,131473.0,33580.0,33580.0,0.0
A517,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A517.parquet,131473.0,33580.0,33580.0,0.0
A518,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A518.parquet,131473.0,33580.0,33580.0,0.0
A519,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A519.parquet,131473.0,33580.0,33580.0,0.0
A520,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A520.parquet,131473.0,33580.0,33580.0,0.0
A521,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A521.parquet,131473.0,33580.0,33580.0,0.0
A522,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A522.parquet,131473.0,33580.0,33580.0,0.0
