CODIGO_WMO,status,total,n_orig_missing,n_imputed,n_remaining_na,n_horas_longo_extremo_nao_imputadas,pct_imputed,pct_remaining_na,checagem_consistente,out_path
A502,ok,131496,3744,236,3508,3508,0.1794731398673724,2.66776175701162,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A502.parquet
A505,ok,131496,10339,803,9536,9536,0.6106649631927967,7.251931617691793,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A505.parquet
A506,ok,131496,15748,569,15179,15179,0.4327127821378597,11.54331690697816,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A506.parquet
A507,ok,131496,2758,1018,1740,1740,0.7741680355295979,1.3232341668187626,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A507.parquet
A508,ok,131496,10931,6352,4579,4579,4.830565188294701,3.482235201070755,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A508.parquet
A509,ok,131496,7570,511,7059,7059,0.3886049765772343,5.3682241284906,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A509.parquet
A510,ok,131496,3193,828,2365,2365,0.6296769483482387,1.7985337957048124,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A510.parquet
A511,ok,131496,7441,547,6894,6894,0.41598223520107075,5.242745026464683,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A511.parquet
A512,ok,131496,16749,1114,15635,15635,0.8471740585264951,11.890095516213421,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A512.parquet
A513,ok,131496,8989,1441,7548,7548,1.0958508243596763,5.740098558131046,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A513.parquet
A514,ok,131496,5917,2050,3867,3867,1.5589827827462432,2.9407738638437673,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A514.parquet
A515,ok,131496,8149,630,7519,7519,0.4791020259171382,5.718044655350733,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A515.parquet
A516,ok,131496,12290,2151,10139,10139,1.635791202774229,7.710500699641054,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A516.parquet
A517,ok,131496,8709,2191,6518,6518,1.6662103790229361,4.956804769726836,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A517.parquet
A518,ok,131496,2406,1289,1117,1117,0.9802579546145891,0.8494554967451481,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A518.parquet
A519,ok,131496,6978,3913,3065,3065,2.9757559165297804,2.3308693800571882,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A519.parquet
A520,ok,131496,10023,266,9757,9757,0.20228752205390277,7.4199975664659,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A520.parquet
A521,ok,131496,474,253,221,221,0.19240128977307294,0.1680659487741072,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A521.parquet
A522,ok,131496,12052,1332,10720,10720,1.0129585690819494,8.152339234653526,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A522.parquet
A523,ok,131496,7634,1049,6585,6585,0.7977428971223459,5.00775688994342,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A523.parquet
